screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
KanganaTeam,2020-12-06T04:04:19Z,"Dearest India don’t let those win who want us to loose, more tukde of this nation will benefit few but harm each one of us.... rise together and recognise your enemies....don’t let them win ... ❤️",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335434874098835458
KanganaTeam,2020-12-06T04:01:24Z,"The agenda to internationally destroy India’s reputation/business by causing unrest in the country is working big time, every few months there are riots, strikes and protests, No way India can progress if it keeps responding to fake rumours of loosing land and citizenship (cont) https://t.co/sMVebfrrLI",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335434136874446848
KanganaTeam,2020-12-05T17:00:18Z,"RT @thondankani: ""தலைவி"" திரைப்படத்தில் எனக்கான படப்பிடிப்பு நிறைவடைந்தது...மிக்க மகிழ்ச்சி... பேரன்பான இயக்குனர் ஏ.எல்.விஜய் ...செல்வி .கங்கனா ரணாவத் ...திரு.அரவிந்த்சாமி மற்றும் என் உடன் நடித்த சக நடிகர்கள் தொழில்நுட்ப கலைஞர்கள்,உதவி இயக்குனர்கள் அனைவருக்கும் நன்றி..! வெல்வோம்..! https://t.co/wZjegLxvl0",,thondankani,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,ta,1335267767117697025
KanganaTeam,2020-12-05T16:05:59Z,"What you saying ! I am the hottest target in the country right now, target me and you will become media’s favourite, movie mafia will offer you roles, give you movies, filmfare award, shiv Sena tickets every thing. If I were a don you know 72 mulkon ki police mere peeche hoti 👑 https://t.co/wEbMTsl1DW",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335254098283737090
KanganaTeam,2020-12-05T15:30:32Z,सही पकड़े सुशांत जी 🙂 https://t.co/eTu8vEQfIY,,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1335245175078203394
KanganaTeam,2020-12-05T11:34:17Z,"உலகம் நடிகைகளை பார்க்கும் கண்ணோட்டத்தை மாற்றிய, நமது புரட்சித்தலைவி அம்மா அவர்களின் நினைவு நாளில் மலரஞ்சலி செலுத்த பெருமைபடுகிறேன்.

  பெண்மையைப் போற்றுவோம். https://t.co/odTEUTjN9F",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,ta,1335185724040044544
KanganaTeam,2020-12-05T04:38:06Z,"@DeShobhaa @MumbaiMirror First of Thank you for remembering me, I will take your criticism just how I take your compliments, but I can’t accept this allegation no I am not against farmers, I am only against Khalistanis. Anyway time will tell my intensions and motives, hope to see you soon, much love 💕",DeShobhaa,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335080985289916417
KanganaTeam,2020-12-05T04:29:25Z,"On the death anniversary of Jaya Amma, sharing some working stills from our film Thalaivi- the revolutionary leader. All thanks to my team, especially the leader of our team Vijay sir who is working like a super human to complete the film, just one more week to go 🙏 https://t.co/wlUeo8Mx3W",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335078803064799233
KanganaTeam,2020-12-04T15:48:39Z,"@Sumitchauhaan And they will why won’t they ? Their target is 5 trillion economy, remember one thing nobody wants boost in economy at this point more than the government itself provided so many daggers are out to butcher them. Help them help you all 🙏
I got early morning shift ttyl ...",Sumitchauhaan,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334887349323370499
KanganaTeam,2020-12-04T15:38:16Z,"@Sumitchauhaan No, not natural that too only in one congress lead state whereas we have bigger farmer population in many other states,I come from farmers family I myself have taken to organic farming I know what it takes to grow life but not practical to put price tags way before it’s grown.",Sumitchauhaan,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334884734199943169
KanganaTeam,2020-12-04T15:20:21Z,"@Sumitchauhaan Mr. PM has done way beyond 15lakhs and 2 crore jobs that’s why he is the most loved Indian today. Don’t assume or present hypothetical situations, truth is prices vary every year based on production/demand the idea is to give farmers choices and exposure which this bill provides.",Sumitchauhaan,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334880224840859650
KanganaTeam,2020-12-04T14:51:10Z,"@Sumitchauhaan Word MSP is used by PM himself many times, what else you want government to commit in digits for aloo payaaz right now? Also if farmers feel corporates are exploiting them, they can choose not to sell their products to them and go via Mandis and middle men, what’s the issue here?",Sumitchauhaan,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334872883722506240
KanganaTeam,2020-12-04T14:04:58Z,Awesome!!! Ranjitsinh Disale ji many congratulations 🥰🙏🙏🙏 https://t.co/bKguO2fJ9H,,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334861253685088258
KanganaTeam,2020-12-04T13:31:16Z,कौन हैं ये ख़ून के प्यासे दरिंदे जिन्होंने मासूमों को काट के गटर में फेंका अपनी नागरिकता केलिये कब तक ये दरिंदे ख़ून की होली खेलेंगे?किसने छिनी इनकी नागरिकता?ये मेरा जन्मसिद्ध अधिकार है की मैं पूछूँ कौन होते हो तुम किसानों से उनका हक़ छिनने वाले?बताओ क्या नहीं समझ आ रहा तुम्हें ?,KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334852774803095552
KanganaTeam,2020-12-04T13:22:30Z,"Can Shaheen Baag biryani gang and Khalistani terrorists please explain what exactly is their problem is with the Bill,even during CAA government said million times nobody will loose citizenship still they did riots and killed hundreds of people, again they are not listening(cont) https://t.co/hEDPhBDUAs",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334850566413975552
KanganaTeam,2020-12-04T12:05:55Z,@RajivKumarSin17 @AgentNo116 @BJP4Telangana Wow 44 is an amazing number 👍,RajivKumarSin17,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334831296816709633
KanganaTeam,2020-12-04T12:04:26Z,"Every year thousands of farmers commit suicide,we are the bread basket of the world but our farmers are the poorest,every year I read and see hundreds of strikes by farmers for reforms,agar sab itne satisfied hain existing structure se toh phir suicides n strikes kaun karta hai? https://t.co/IwNTIIGQlB",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334830922634387456
KanganaTeam,2020-12-04T05:02:56Z,"Dear @INCIndia while your government ruled states are in mess and doing Kangana Kangana whole day, can’t help but notice @BJP4India is ruling hearts of their toughest critics and entering new territories 🥰 https://t.co/GaSxUox5Zt",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334724849118244864
KanganaTeam,2020-12-04T04:31:30Z,"Film mafia filed many cases on me, last night Javed Akhtar filed one more, Maharashtra government filing one case every hour now congress in Punjab is also joined the gang.... 😁
Lagta hai mujhe mahan banake he dum lenge 🥰🙏
Thank you 🙏 https://t.co/Q3w7WaCyCm",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334716936014487552
KanganaTeam,2020-12-03T16:04:13Z,"My request to Farmers across the nation is don’t let any communists/Khalistani tukde gangs hijack your protests.Latest reports suggest that the talks with the authorities are yielding results.I wish everyone all the best.Hope peace n faith prevail in the nation again, Jai Hind.",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334528879126433793
KanganaTeam,2020-12-03T16:00:10Z,"This Bill is going to transform farmers lives for better in many ways, I understand the anxiousness and effect of many rumours but I am certain government will address all doubts, please be patient. I am with my farmers and people of Punjab hold special place in my heart (cont)",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334527858748755968
KanganaTeam,2020-12-03T15:57:37Z,"I am with farmers, last year I activity promoted agroforestry and donated for the cause as well, I have been vocal about farmers exploitation and their problems also I worry a lot so prayed for resolves in this sector, which finally happened with this revolutionary bill (cont)",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334527215745175553
KanganaTeam,2020-12-03T15:25:02Z,😂😂😂😂😂 https://t.co/M4v6k5b1cI,,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,,1334519018619871232
KanganaTeam,2020-12-03T14:26:35Z,"Single woman/lone warrior fighting against Bullywood suicide gang, drug mafia, fascist government, tukde gang all at once, I may have chosen a difficult life but it’s an honour to awaken my nation to all the threats we face against our unity and integrity. https://t.co/7MIuDLrrBb",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334504308122021888
KanganaTeam,2020-12-03T13:42:31Z,"So tukde gang remember you will have to kill me to suppress my voice, and then I will speak through every Indian and that’s precisely my dream, whatever you do inevitably you will make me realise my dream and purpose and that’s why I respect my villains ❤️",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334493217136365568
KanganaTeam,2020-12-03T13:39:39Z,"Ha ha ha I am continuously taking about Akhand Bharat, inevitably fighting tukde gang everyday and I am accused of dividing the nation 😂
Wah!!! Kya baat hai, anyway twitter is not the only platform for me in one chutki thousands camera will appear for my single statement 🙂 https://t.co/0BgAEd7iKO",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334492496768901120
KanganaTeam,2020-12-03T13:36:46Z,"@ofnosurnamefame @mehtahansal Ha ha ha Hansal sir aap itna X rated kabse sochne lage ? Kaise kaam deta hai matlab reason could be chaploosi also na since that’s what I accused him of in previous tweets, itna innovative kaise ho gaye ? deprived ho kya itna sex sex chalta hai dimaag mein 😂😂😂",ofnosurnamefame,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334491770638360576
KanganaTeam,2020-12-03T12:36:23Z,"Me versus tukde gang on twitter every day #सब_पर_भारी_कंगना 
Ha ha thank you for the trend my friends, it’s disheartening to see so many anti national elements here but I am proud of my nationalist friends who oppose tukde gang and want Akhand Bharat #सब_पर_भारी_कंगना https://t.co/BeLKw1Nh36",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334476574117203978
KanganaTeam,2020-12-03T12:22:12Z,"Punjab Bharat Mata ka dil hai, we need to recognise these terrorists who want to pull India’s heart out from her body. Handful of power hungry people can’t break this nation. Roar against tukde gang India, also thank you for trending #सब_पर_भारी_कंगना https://t.co/nsoVM6t89r",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334473007650099200
KanganaTeam,2020-12-03T12:15:16Z,"This is ruling party leader from Punjab jo inn aatankiyon ki pol khol raha hai, this is what they have to say about KJO chaploos aur baki aatanki jo desh ke tukde karna chahte hain, dadi ko bina matlab drag karke apna agenda chala rahe hain... shame on tukde gang... https://t.co/L0KFQtTi1D",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334471259241869313
KanganaTeam,2020-12-03T11:25:50Z,@vinodkapri @diljitdosanjh Chup jai Chand ....,vinodkapri,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334458820312006657
KanganaTeam,2020-12-03T11:23:16Z,"@JJassiOfficial Jassi ji aap kafi pareshaan hain mujhse, koi baat nahin shayad aap mujhe mute nahin kar pa rahe ho main he aapko block kar deti hoon, jo jo pareshan hain pls batayein main aapki help karti hoon block karne mein 🙏",JJassiOfficial,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334458175563546625
KanganaTeam,2020-12-03T11:12:48Z,"@diljitdosanjh Inke baare mein maine kabhi kuch nahin kaha, main inhein janti bhi nahi, yeh kaun hain inka kya naam hai mujhe nahin pata, jhooth failana band kar.Shaheen Baag dadi pe maine sawaal uthaye haan main danke ki chot pe accept karti hoon,show me where I wrote anything about this dadi?",diljitdosanjh,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334455538797608960
KanganaTeam,2020-12-03T11:01:41Z,"@vinodkapri ये भाषा ये संस्कार तुम जय चंदों में होते तो हिंदू नारियों को रण में नहीं उतारना पड़ता, अगर तुम्हारा पुरुषार्थ तुम्हारे भय में विलुप्त ना हुआ होता तो नारी को मर्दानी ना बनना पड़ता 🙂",vinodkapri,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334452742547365889
KanganaTeam,2020-12-03T10:33:43Z,"Mera ya tumhara sahi hona zaroori nahin hai, desh ka sahi hona zaroori hai, tum log farmers ko bhatka rahe ho, pareshaan hoon main inn protests se aaye din in riots se iss khoon kharabe se, aur tum sab bhaagidaar ho ismein... remember that ... https://t.co/shhe4lyM43",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334445706266828801
KanganaTeam,2020-12-03T10:31:01Z,Oye dumbo baat wahi hai jab kisi ki citizenship gayi he nahin toh Saheen Baag dadi ne kiske kehne pe protests kiye? Jab MSP hataya he nahin toh phir wahi dadi kiske bhejne pe Farmers protests mein hissa le rahi hai? Kaun usko peeche se prompt karta hai when she speaks ? https://t.co/GZE2dyqVK3,,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334445025925599232
KanganaTeam,2020-12-03T10:12:00Z,"@diljitdosanjh Punjabi samajh aati hai mujhe, jinhonne Delhi mein riots karvaye khoon ki nadiyaan bahae, dangge karvaye unko defend karte hue sharm nahi aati? Tujhe kya sharm aayegi, kjo kaise kaam deta hai sabko pata hai 🙂",diljitdosanjh,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334440241650798592
KanganaTeam,2020-12-03T09:33:50Z,"@_RavinderSingh_ Yeh toh kuch bhi nahin, sab chillar party ko line pe lagana aata hai mujhe, jiski jo aukat hai usko wahi treatment milega. Main koi bechari abla nari nahin jo tumko mere baare mein kuch bhi kehne ya karne dungi .... sabko set kiya jayega, bahut ho gaya tum sabka drama.",_RavinderSingh_,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334430633783939073
KanganaTeam,2020-12-03T09:20:14Z,@boxervijender Kyun tu bhi Shiv sena banayega ..... bhai?,boxervijender,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334427213492604928
KanganaTeam,2020-12-03T09:17:41Z,"@GauravPandhi Dummy I said Bilkis Dadi ji who got popularity in Shaheen Baag which lead to massive riots is also in Farmers protests,but it was not her so I deleted that picture but next day Bilkis Dadi was actually in the farmers protests. I don’t consider myself wrong, was just ahead time.",GauravPandhi,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334426571466285056
KanganaTeam,2020-12-03T09:05:23Z,"@diljitdosanjh Oh chamche chal, tu jinki chat chat ke kaam leta hai, main unki roz bajati hoon,jayada mat uchal,main Kangana Ranaut hoon tere jaisi chamchi nahin jo jhoot boloon,maine sirf aur sirf Shaheen Baag wali protestor pe comment kiya tha, if anyone can prove otherwise I will apologise.",diljitdosanjh,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334423473205071873
KanganaTeam,2020-12-03T08:41:05Z,"I had only commented on Shaheen Baag dadi cos they instigated riots there even that tweet was deleted almost immediately, I don’t know from where they brought another elderly lady in to the picture and now endlessly spreading lies.Vultures trying to instigate mob against a woman. https://t.co/EI9xlXwaEu",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1334417361592406016
KanganaTeam,2020-12-03T08:28:10Z,"सुनो गिद्दों मेरी ख़ामोशी को मेरी कमज़ोरी मत समझना, मैं सब देख रही हूँ किस किस तरह से तुम झूठ बोलकर मासूमों को भड़का रहे हो और उनको इस्तेमाल कर रहे हो, जब शाहीन बाग़ की तरह इन धरनों का रहस्य खुलेगा तो मैं एक शानदार स्पीच लिखूँगी और तुम लोगों का मुँह कला करूँगी- बब्बरशेरनी https://t.co/mYx5mmLkEE",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334414109773758465
KanganaTeam,2020-12-03T08:13:48Z,"Ooo Karan johar ke paltu, jo dadi Saheen Baag mein apni citizenship keliye protest kar rahi thi wohi Bilkis Bano dadi ji Farmers ke MSP ke liye bhi protest karti hue dikhi. Mahinder Kaur ji ko toh main janti bhi nahin. Kya drama chalaya hai tum logon ne? Stop this right now. https://t.co/RkXRVKfXV1",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1334410492987678721
